Lead ID,Company Name,Website URL,Normalized Domain,Title,Meta Description,Source URL,Evidence Snippet,Collection Date,Lead Status,Data Confidence,Lead Qualification Score,Qualification Rationale,Industry or Category,Business Model,Geography or Market Signal,Public Contact Route,Product or Service Type,Target Audience Signal,Core Product Positioning,Key Claims or Messaging,E-commerce Signal,Marketing or Content Activity Signal
SEED-01,OZiva,https://www.oziva.in,oziva.in,"OZiva | No.1 Choice for Clean, Plant based Nutrition & Beauty Products","Buy OZiva's Clean, Plant based Products Online. Only Certified Clean Label brand in India by US CLP. Visit Now. Free Shipping.",https://www.oziva.in,"Buy OZiva's Clean, Plant based Products Online. Only Certified Clean Label brand in India by US CLP. Visit Now. Free Shipping.",2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,nutrition,Unknown,India,Website Homepage,unknown,Consumers,"OZiva | No.1 Choice for Clean, Plant based Nutrition & Beauty Products","Buy OZiva's Clean, Plant based Products Online. Only Certified Clean Label brand in India by US CLP. Visit Now. Free Shipping.",No,Unknown
SEED-02,Mamaearth,https://mamaearth.in,mamaearth.in,"Mamaearth | Natural Skin Care, Hair Care & Baby Care Products","Shop Mamaearth's toxin-free skincare, haircare, baby care, and beauty products made with natural ingredients. Free shipping, exclusive offers & more.",https://mamaearth.in,"Shop Mamaearth's toxin-free skincare, haircare, baby care, and beauty products made with natural ingredients. Free shipping, exclusive offers & more.",2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,skincare,Unknown,India,Website Homepage,unknown,Consumers,"Mamaearth | Natural Skin Care, Hair Care & Baby Care Products","Shop Mamaearth's toxin-free skincare, haircare, baby care, and beauty products made with natural ingredients. Free shipping, exclusive offers & more.",No,Unknown
SEED-03,OmniActive Health Technologies,https://omniactives.com,omniactives.com,Natural Health Supplements | OmniActive Health Technologies,"At OmniActive, we deliver innovative, scientifically validated, and nature-based natural ingredients to nutrition brands around the world. Learn more here!",https://omniactives.com,"At OmniActive, we deliver innovative, scientifically validated, and nature-based natural ingredients to nutrition brands around the world. Learn more here!",2026-07-10,pending_human_review,High,6.0,Active website; Relevant wellness industry; Strong public evidence,nutrition,Unknown,Global,Website Homepage,unknown,Consumers,Natural Health Supplements | OmniActive Health Technologies,"At OmniActive, we deliver innovative, scientifically validated, and nature-based natural ingredients to nutrition brands around the world. Learn more here!",No,Unknown
SEED-04,Wellbeing Nutrition,https://www.wellbeingnutrition.com,wellbeingnutrition.com,Wellbeing Nutrition India - Health and Beauty Supplements Online,"Welcome to Wellbeing Nutrition! India’s first one-stop-shop for organic, whole foods, and multivitamin supplements. Begin your journey to better health today.",https://www.wellbeingnutrition.com,"Welcome to Wellbeing Nutrition! India’s first one-stop-shop for organic, whole foods, and multivitamin supplements. Begin your journey to better health today.",2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,nutrition,Unknown,Global,Website Homepage,unknown,Consumers,Wellbeing Nutrition India - Health and Beauty Supplements Online,"Welcome to Wellbeing Nutrition! India’s first one-stop-shop for organic, whole foods, and multivitamin supplements. Begin your journey to better health today.",No,Unknown
SEED-05,mCaffeine,https://www.mcaffeine.com,mcaffeine.com,"India's First Caffeinated Brand For Skin & Hair Care Products

        – mCaffeine",mCaffeine - India's first caffeinated brand for personal care. Give your hair and skin the best care with coffee-based vegan products. ✓ 5 million Happy Customers ✓ 4.7+ Rating ✓ SLS Free Products,https://www.mcaffeine.com,mCaffeine - India's first caffeinated brand for personal care. Give your hair and skin the best care with coffee-based vegan products. ✓ 5 million Happy Customers ✓ 4.7+ Rating ✓ SLS Free Products,2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,skincare,Unknown,Global,Website Homepage,unknown,Consumers,"India's First Caffeinated Brand For Skin & Hair Care Products

        – mCaffeine",mCaffeine - India's first caffeinated brand for personal care. Give your hair and skin the best care with coffee-based vegan products. ✓ 5 million Happy Customers ✓ 4.7+ Rating ✓ SLS Free Products,No,Unknown
SEED-06,Honasa Consumer,https://honasa.in,honasa.in,Honasa Consumer Ltd - Building India's Loved Beauty Care Brand,"Honasa Consumer Ltd. brings you India's loved brands - Mamaearth, The Derma Co., Dr. Sheth's, BBlunt & Aqualogica. Honest beauty for every Indian.",https://honasa.in,"Honasa Consumer Ltd. brings you India's loved brands - Mamaearth, The Derma Co., Dr. Sheth's, BBlunt & Aqualogica. Honest beauty for every Indian.",2026-07-10,pending_human_review,High,6.0,Active website; Relevant wellness industry; Strong public evidence,skincare,Unknown,India,Website Homepage,unknown,Consumers,Honasa Consumer Ltd - Building India's Loved Beauty Care Brand,"Honasa Consumer Ltd. brings you India's loved brands - Mamaearth, The Derma Co., Dr. Sheth's, BBlunt & Aqualogica. Honest beauty for every Indian.",No,Unknown
SEED-07,SUGAR Cosmetics,https://www.sugarcosmetics.com,sugarcosmetics.com,Premium Makeup & Beauty Products Online | SUGAR Cosmetics,"Shop SUGAR Cosmetics&#39; premium makeup &amp; beauty products online. Browse lipsticks, foundations, kajal &amp; more with free shipping across India.",https://www.sugarcosmetics.com,"Shop SUGAR Cosmetics&#39; premium makeup &amp; beauty products online. Browse lipsticks, foundations, kajal &amp; more with free shipping across India.",2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,skincare,Unknown,Global,Website Homepage,unknown,Consumers,Premium Makeup & Beauty Products Online | SUGAR Cosmetics,"Shop SUGAR Cosmetics&#39; premium makeup &amp; beauty products online. Browse lipsticks, foundations, kajal &amp; more with free shipping across India.",No,Unknown
SEED-08,Plix,https://www.plixlife.com,plixlife.com,"Buy Plant Based Products | Vegan Protein Powders, Tablets & Capsules Online - PlixLife","Looking for plant-based products? Buy Plant Protein Powder, Tablets & Capsules Online for Men & Women in India at PlixLife. We have a wide range of plant based vegan products for weight, skin, hair & wellness.",https://www.plixlife.com,"Looking for plant-based products? Buy Plant Protein Powder, Tablets & Capsules Online for Men & Women in India at PlixLife. We have a wide range of plant based vegan products for weight, skin, hair & ",2026-07-10,qualified,High,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,nutrition,Unknown,Global,Website Homepage,unknown,Consumers,"Buy Plant Based Products | Vegan Protein Powders, Tablets & Capsules Online - PlixLife","Looking for plant-based products? Buy Plant Protein Powder, Tablets & Capsules Online for Men & Women in India at PlixLife. We have a wide range of plant based vegan products for weight, skin, hair & wellness.",No,Unknown
SEED-09,Huel,https://huel.com,huel.com,Huel,"Huel is nutritionally complete food, providing you with all 27 essential vitamins and minerals, protein, essential fats, carbs, fibre and phytonutrients.",https://huel.com,"Huel is nutritionally complete food, providing you with all 27 essential vitamins and minerals, protein, essential fats, carbs, fibre and phytonutrients.",2026-07-10,pending_human_review,High,6.0,Active website; Relevant wellness industry; Strong public evidence,nutrition,Unknown,Global,Website Homepage,unknown,Consumers,Huel,"Huel is nutritionally complete food, providing you with all 27 essential vitamins and minerals, protein, essential fats, carbs, fibre and phytonutrients.",No,Unknown
SEED-10,The Whole Truth,https://www.thewholetruthfoods.com,thewholetruthfoods.com,The Whole Truth Foods - Online Store,Order online from The Whole Truth Foods with secure payment options and seamless online shopping experience.,https://www.thewholetruthfoods.com,Order online from The Whole Truth Foods with secure payment options and seamless online shopping experience.,2026-07-10,pending_human_review,High,5.0,Active website; Clear product offering; Strong public evidence,unknown,Unknown,Global,Website Homepage,unknown,Consumers,The Whole Truth Foods - Online Store,Order online from The Whole Truth Foods with secure payment options and seamless online shopping experience.,No,Unknown
